caucus,congress_numbers/0,congress_numbers/1,congress_numbers/2,current,description,district,enddate,extra/address,extra/contact_form,extra/fax,extra/office,extra/rss_url,id,leadership_title,party,person/bioguideid,person/birthday,person/cspanid,person/firstname,person/gender,person/gender_label,person/id,person/lastname,person/link,person/middlename,person/name,person/namemod,person/nickname,person/osid,person/pvsid,person/sortname,person/twitterid,person/youtubeid,phone,role_type,role_type_label,senator_class,senator_class_label,senator_rank,senator_rank_label,startdate,state,title,title_long,website,extra/how
,112,113,114,true,Junior Senator from Missouri,,2017-01-03,260 Russell Senate Office Building Washington DC 20510,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,202-224-8149,260 Russell Senate Office Building,http://www.blunt.senate.gov/public/?a=rss.feed,268,,Republican,B000575,1950-01-10,45465,Roy,male,Male,400034,Blunt,https://www.govtrack.us/congress/members/roy_blunt/400034,,Sen. Roy Blunt [R-MO],,,N00005195,418,"Blunt, Roy (Sen.) [R-MO]",RoyBlunt,SenatorBlunt,202-224-5721,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,MO,Sen.,Senator,http://www.blunt.senate.gov,
,112,113,114,true,Senior Senator from Arkansas,,2017-01-03,141 Hart Senate Office Building Washington DC 20510,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,202-228-1371,141 Hart Senate Office Building,http://www.boozman.senate.gov/public/index.cfm/rss/feed,317,,Republican,B001236,1950-12-10,92069,John,male,Male,400040,Boozman,https://www.govtrack.us/congress/members/john_boozman/400040,,Sen. John Boozman [R-AR],,,N00013873,27958,"Boozman, John (Sen.) [R-AR]",JohnBoozman,BoozmanPressOffice,202-224-4843,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,AR,Sen.,Senator,http://www.boozman.senate.gov,
,112,113,114,true,Senior Senator from North Carolina,,2017-01-03,217 Russell Senate Office Building Washington DC 20510,http://www.burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm,202-228-2981,217 Russell Senate Office Building,http://www.burr.senate.gov/public/index.cfm?fuseaction=rss.feed,409,,Republican,B001135,1955-11-30,31054,Richard,male,Male,400054,Burr,https://www.govtrack.us/congress/members/richard_burr/400054,M.,Sen. Richard Burr [R-NC],,,N00002221,21787,"Burr, Richard (Sen.) [R-NC]",SenatorBurr,SenatorRichardBurr,202-224-3154,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,NC,Sen.,Senator,http://www.burr.senate.gov,
,112,113,114,true,Senior Senator from Georgia,,2017-01-03,131 Russell Senate Office Building Washington DC 20510,http://www.isakson.senate.gov/public/index.cfm/email-me,202-228-0724,131 Russell Senate Office Building,http://www.isakson.senate.gov/public/?a=RSS.Feed,1587,,Republican,I000055,1944-12-28,59135,John,male,Male,400194,Isakson,https://www.govtrack.us/congress/members/john_isakson/400194,H.,Sen. John âJohnnyâ Isakson [R-GA],,Johnny,N00002593,1721,"Isakson, John âJohnnyâ (Sen.) [R-GA]",SenatorIsakson,SenatorIsakson,202-224-3643,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,GA,Sen.,Senator,http://www.isakson.senate.gov,
,112,113,114,true,Junior Senator from Illinois,,2017-01-03,524 Hart Senate Office Building Washington DC 20510,http://www.kirk.senate.gov/?p=comment_on_legislation,202-228-4611,524 Hart Senate Office Building,http://kirk.senate.gov/rss/?p=hot_topic,1801,,Republican,K000360,1959-09-15,85221,Mark,male,Male,400222,Kirk,https://www.govtrack.us/congress/members/mark_kirk/400222,Steven,Sen. Mark Kirk [R-IL],,,N00012539,33502,"Kirk, Mark (Sen.) [R-IL]",SenatorKirk,SenatorKirk,202-224-2854,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,IL,Sen.,Senator,http://www.kirk.senate.gov,
,112,113,114,true,Junior Senator from Kansas,,2017-01-03,521 Dirksen Senate Office Building Washington DC 20510,http://www.moran.senate.gov/public/index.cfm/e-mail-jerry,202-228-6966,521 Dirksen Senate Office Building,http://www.moran.senate.gov/public/index.cfm/rss/feed/,2343,,Republican,M000934,1954-05-29,45469,Jerry,male,Male,400284,Moran,https://www.govtrack.us/congress/members/jerry_moran/400284,,Sen. Jerry Moran [R-KS],,,N00005282,542,"Moran, Jerry (Sen.) [R-KS]",JerryMoran,senatorjerrymoran,202-224-6521,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,KS,Sen.,Senator,http://www.moran.senate.gov,
,112,113,114,true,Junior Senator from Ohio,,2017-01-03,448 Russell Senate Office Building Washington DC 20510,https://www.portman.senate.gov/public/index.cfm/contact-form,,448 Russell Senate Office Building,http://www.portman.senate.gov/public/index.cfm/rss/feed,2725,,Republican,P000449,1955-12-19,31819,Robert,male,Male,400325,Portman,https://www.govtrack.us/congress/members/robert_portman/400325,J.,Sen. Robert âRobâ Portman [R-OH],,Rob,N00003682,27008,"Portman, Robert âRobâ (Sen.) [R-OH]",SenRobPortman,SenRobPortman,202-224-3353,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,OH,Sen.,Senator,http://www.portman.senate.gov,
,112,113,114,true,Junior Senator from Pennsylvania,,2017-01-03,248 Russell Senate Office Building Washington DC 20510,http://www.toomey.senate.gov/?p=contact,202-228-0284,248 Russell Senate Office Building,http://toomey.senate.gov/rss/?p=hot_topic,3478,,Republican,T000461,1961-11-17,7958,Patrick,male,Male,400408,Toomey,https://www.govtrack.us/congress/members/patrick_toomey/400408,J.,Sen. Patrick âPatâ Toomey [R-PA],,Pat,N00001489,24096,"Toomey, Patrick âPatâ (Sen.) [R-PA]",SenToomey,sentoomey,202-224-4254,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,PA,Sen.,Senator,http://www.toomey.senate.gov,
,112,113,114,true,Senior Senator from Louisiana,,2017-01-03,516 Hart Senate Office Building Washington DC 20510,http://www.vitter.senate.gov/contact/email-senator-vitter,202-228-5061,516 Hart Senate Office Building,http://www.vitter.senate.gov/rss/feeds/?type=all,3561,,Republican,V000127,1961-05-03,60672,David,male,Male,400418,Vitter,https://www.govtrack.us/congress/members/david_vitter/400418,,Sen. David Vitter [R-LA],,,N00009659,4615,"Vitter, David (Sen.) [R-LA]",,SenatorVitter,202-224-4623,senator,Senator,class3,Class 3,senior,Senior,2011-01-05,LA,Sen.,Senator,http://www.vitter.senate.gov,
,112,113,114,true,Junior Senator from California,,2017-01-03,112 Hart Senate Office Building Washington DC 20510,https://www.boxer.senate.gov/contact/shareyourviews.html,202-224-0454,112 Hart Senate Office Building,,3853,,Democrat,B000711,1940-11-11,2470,Barbara,female,Female,300011,Boxer,https://www.govtrack.us/congress/members/barbara_boxer/300011,,Sen. Barbara Boxer [D-CA],,,N00006692,53274,"Boxer, Barbara (Sen.) [D-CA]",SenatorBoxer,SenatorBoxer,202-224-3553,senator,Senator,class3,Class 3,junior,Junior,2011-01-05,CA,Sen.,Senator,http://www.boxer.senate.gov,
