Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1014616937,0.7788574776,2.2477393923,4.3455087972,8.8679789792,16.0163366019,26.4708799874,34.338687247,41.3857963883,54.2620802231
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738932795,0.1067304203,0.1818750473,0.3582487857,0.9698045742,12.7592385466,27.5424318511,35.4073340177,40.3086729298,48.7059647336,60.504364338,73.2707084187,58.4533146916,77.1673897172,84.0241376857,96.3933945027
Algeria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018577676,0.0184377044,0.0180021296,0.0175966767,0.0048574676,0.0165808985,0.0406435507,0.059501588,0.0606597884,0.2392105255,0.2816548348,0.3227658295,1.431989621,4.533907979,15.0710173043,41.5384592931,62.8832742163,81.2901232665,78.5158882757,93.6471149438,92.4212607527,98.9875902
American Samoa,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,1.4099258782,1.7716186689,2.3128071697,2.3621005688,2.4118290941,2.5531604479,2.6908242892,3.1764519032,3.4568329718,3.6771101598,3.4111280513,3.4554250173,3.6365987296,,,,,,,
Andorra,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3329409524,1.285643646,1.2422557082,4.3663735143,8.4136937158,13.2778676527,21.9733524266,32.1950457138,36.4251013399,44.3274589547,47.4921425778,71.8709748902,77.5195239866,82.8882497946,86.3910659288,78.0230986608,77.7480412221,77.1406718692,77.176423454,75.4877270353
Angola,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096730934,0.0155327107,0.0164723891,0.0264841631,0.0551271838,0.0747435068,0.1776254804,0.1853030936,0.5212588833,0.9401984114,2.2697878974,4.6373294998,9.7708529815,17.9574031505,28.3105968623,37.550557258,43.7045041219,46.6892416232,48.3779743458
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,1.8452803407,1.935787174,2.0218358269,11.186418372,28.3300710827,31.5796122024,47.4555007639,56.4149003867,65.1874743475,102.4834358168,129.6932385347,130.7744225287,157.2173432626,153.669620282,189.3473114643,181.6419675936
