Country,Gender,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,Female,20.44348,20.47765,20.52292,20.56493,20.60867,20.64796,20.68983,20.70902,20.71512,20.71421,20.70504,20.70117,20.67746,20.63639,20.59074,20.5675,20.55575,20.56759,20.59306,20.61717,20.6185,20.61353,20.65274,20.70828,20.76927,20.83858,20.91021,20.9906,21.07402
Albania,Female,25.17427,25.19088,25.20032,25.21906,25.22359,25.21257,25.20939,25.18918,25.16965,25.1537,25.13877,25.0467,24.96615,24.93558,24.93562,24.93706,24.96643,24.96754,25.0022,25.06254,25.12797,25.20332,25.27082,25.33198,25.39804,25.46525,25.53328,25.59394,25.65726
Algeria,Female,23.67764,23.80702,23.92626,24.03604,24.1363,24.24213,24.33652,24.42523,24.50904,24.59436,24.67546,24.75504,24.8421,24.92523,24.9955,25.07258,25.15,25.22635,25.3097,25.40139,25.49389,25.59477,25.69948,25.81168,25.93081,26.03886,26.15054,26.26096,26.36841
Andorra,Female,25.67324,25.69018,25.69922,25.70089,25.70584,25.70877,25.71239,25.72437,25.74523,25.77649,25.81199,25.85168,25.87593,25.89671,25.91898,25.93933,25.96645,25.99661,26.03351,26.07432,26.10622,26.14707,26.19542,26.23892,26.28851,26.32247,26.36846,26.40095,26.43196
Angola,Female,20.06763,20.12766,20.19464,20.26439,20.3411,20.42624,20.51389,20.60929,20.70945,20.80873,20.914,21.00432,21.08987,21.13495,21.18443,21.25985,21.36478,21.47863,21.60939,21.76054,21.91293,22.07646,22.26093,22.44571,22.63536,22.83412,23.04406,23.2633,23.48431
Antigua and Barbuda,Female,24.22235,24.34043,24.43933,24.55735,24.70423,24.86193,25.02937,25.18394,25.35149,25.52673,25.67301,25.81131,25.95531,26.0634,26.15508,26.22408,26.2935,26.3716,26.4472,26.528,26.61231,26.68539,26.76278,26.84799,26.96384,27.09834,27.23278,27.37364,27.50545
Argentina,Female,23.84436,23.96239,24.06563,24.16711,24.27477,24.38048,24.49371,24.60935,24.71734,24.81633,24.91829,25.04809,25.19889,25.3555,25.51859,25.67636,25.83772,25.99866,26.16254,26.3257,26.47851,26.61081,26.7046,26.81386,26.93257,27.06116,27.19272,27.32608,27.46523
Armenia,Female,25.77727,25.82968,25.89036,25.9533,26.01453,26.06321,26.12162,26.17592,26.21834,26.23481,26.23227,26.20016,26.09322,25.99631,25.9344,25.90678,25.90632,25.93358,25.98351,26.05108,26.12674,26.2254,26.33638,26.46878,26.59244,26.72723,26.86115,27.00147,27.1342
Australia,Female,23.63058,23.75943,23.88326,23.99286,24.11415,24.2452,24.36228,24.48311,24.60343,24.73402,24.86126,24.98751,25.11666,25.23869,25.35789,25.47974,25.5976,25.7167,25.8251,25.93521,26.04167,26.15183,26.25957,26.36875,26.47178,26.57311,26.67746,26.77919,26.87777
Austria,Female,23.9034,23.94662,23.99285,24.02724,24.06105,24.09211,24.12666,24.15578,24.18901,24.23289,24.28536,24.33975,24.38968,24.43623,24.485,24.53071,24.57773,24.61332,24.66039,24.71124,24.7543,24.79874,24.83051,24.86827,24.91942,24.95636,25.00599,25.05064,25.09414
Azerbaijan,Female,26.19709,26.2472,26.29845,26.35802,26.41591,26.46785,26.52785,26.58012,26.61775,26.66236,26.67086,26.67626,26.64382,26.57865,26.48774,26.40232,26.3454,26.29662,26.2755,26.29307,26.34661,26.42567,26.53823,26.67162,26.82292,27.00071,27.18808,27.35547,27.50879
Bahamas,Female,25.7312,25.86517,26.02602,26.18423,26.33821,26.48952,26.64708,26.78383,26.93211,27.06922,27.19051,27.28584,27.36738,27.44964,27.52564,27.60912,27.69779,27.81346,27.92349,28.04877,28.19024,28.32542,28.44201,28.54757,28.65324,28.77475,28.8959,29.01768,29.13948
Bahrain,Female,25.1793,25.29051,25.39929,25.51067,25.6136,25.70911,25.79181,25.90032,26.01177,26.12731,26.24678,26.37206,26.51327,26.66023,26.79691,26.94141,27.08035,27.21855,27.3667,27.52086,27.66677,27.8167,27.96036,28.10135,28.24455,28.38232,28.52503,28.65919,28.79094
Bangladesh,Female,18.47166,18.48812,18.51174,18.5418,18.57151,18.60265,18.63717,18.67808,18.71761,18.7565,18.79715,18.84313,18.89214,18.93651,18.98127,19.03241,19.0933,19.16698,19.25592,19.36185,19.47529,19.5996,19.72414,19.85657,19.9952,20.13393,20.27159,20.40963,20.54531
Barbados,Female,26.59883,26.71838,26.81275,26.90333,26.99588,27.06838,27.15531,27.23923,27.32443,27.40047,27.47166,27.53375,27.59409,27.65728,27.72295,27.81419,27.90969,28.02433,28.10663,28.2376,28.35071,28.46946,28.58496,28.70695,28.7967,28.90441,29.01036,29.1169,29.22169
Belarus,Female,26.25679,26.23585,26.22052,26.19574,26.17109,26.15062,26.13975,26.11987,26.11377,26.10324,26.08985,26.08236,26.06175,26.03639,25.99374,25.95519,25.93389,25.94835,25.96808,25.98476,26.01919,26.06861,26.12336,26.17534,26.2483,26.33189,26.4391,26.54132,26.64186
Belgium,Female,24.97542,24.96714,24.96712,24.95523,24.9503,24.94656,24.93997,24.93132,24.94046,24.94871,24.96067,24.97523,25.00061,25.01742,25.03927,25.05283,25.06855,25.08863,25.09721,25.10398,25.11335,25.11409,25.12181,25.13286,25.14166,25.14573,25.14608,25.14489,25.1446
Belize,Female,25.74834,25.90106,26.04266,26.16195,26.27033,26.35971,26.45118,26.57044,26.69127,26.81911,26.95806,27.10117,27.27452,27.44661,27.60813,27.76957,27.92163,28.07119,28.22288,28.37027,28.53896,28.70468,28.87468,29.04987,29.20535,29.35749,29.5145,29.66301,29.81663
Benin,Female,20.91221,21.0058,21.10264,21.17492,21.27736,21.39033,21.49152,21.56779,21.66026,21.75282,21.85517,21.96279,22.06721,22.16977,22.26976,22.38851,22.50528,22.6109,22.71329,22.8157,22.92684,23.03499,23.14637,23.25775,23.35676,23.46378,23.55687,23.64577,23.74026
Bermuda,Female,27.41889,27.56359,27.69595,27.84409,27.99515,28.14667,28.29582,28.42786,28.54996,28.66933,28.76908,28.85701,28.97071,29.07338,29.1606,29.25932,29.34076,29.42203,29.50316,29.5513,29.61135,29.68104,29.75882,29.83267,29.90034,29.98439,30.08569,30.19904,30.31529
Bhutan,Female,20.15014,20.22599,20.3042,20.37951,20.45975,20.53194,20.60734,20.70126,20.79601,20.89024,20.98019,21.07234,21.15935,21.24674,21.33922,21.43184,21.52842,21.63177,21.73586,21.84031,21.94715,22.05079,22.16199,22.27938,22.39917,22.51188,22.62443,22.74983,22.88243
Bolivia,Female,23.55699,23.65347,23.73722,23.80662,23.885,23.97017,24.04975,24.14128,24.24057,24.35376,24.4627,24.58717,24.71801,24.85103,24.98583,25.13645,25.28814,25.44229,25.58123,25.72135,25.86456,26.00137,26.1348,26.26134,26.38387,26.50738,26.62549,26.74182,26.8633
Bosnia and Herzegovina,Female,24.99974,25.05113,25.1064,25.15891,25.20226,25.23745,25.2834,25.31693,25.34825,25.36374,25.36045,25.34059,25.28169,25.20537,25.17425,25.19614,25.28831,25.42644,25.55583,25.68052,25.77713,25.87892,25.96649,26.04311,26.1235,26.19109,26.24752,26.30453,26.35874
Botswana,Female,23.3474,23.4325,23.51626,23.619,23.71698,23.81013,23.91733,24.03335,24.16157,24.28856,24.4116,24.53063,24.63643,24.72252,24.81281,24.90137,24.98168,25.06994,25.15137,25.23366,25.326,25.41885,25.52204,25.62175,25.71314,25.80588,25.89423,25.99615,26.09156
Brazil,Female,24.05006,24.11916,24.17848,24.21987,24.26384,24.31669,24.38141,24.44963,24.51057,24.57384,24.62666,24.67793,24.73137,24.77471,24.82409,24.88216,24.92815,24.99343,25.05794,25.12756,25.20224,25.27984,25.36366,25.45842,25.56211,25.66827,25.77333,25.8801,25.99113
British Virgin Islands,Female,24.75055,24.86385,24.97675,25.08982,25.20023,25.30369,25.39595,25.5088,25.62572,25.74278,25.89262,26.07514,26.2893,26.52089,26.77019,27.03447,27.27571,27.50663,27.70998,27.89161,28.06392,28.21347,28.33844,28.42275,28.52207,28.61939,28.7085,28.8125,28.92512
Brunei,Female,22.98298,22.97744,22.97202,22.97755,22.98986,23.00492,22.99933,22.98533,22.98447,22.97231,22.95323,22.91949,22.89418,22.88332,22.90273,22.91464,22.93759,22.96949,22.99603,22.98059,22.95982,22.94578,22.95992,22.97268,22.96874,22.96595,22.92931,22.90645,22.89231
Bulgaria,Female,25.5342,25.56386,25.59103,25.61389,25.63037,25.64132,25.66027,25.68394,25.70526,25.71329,25.67129,25.60354,25.53536,25.46788,25.40461,25.3588,25.29274,25.23099,25.2093,25.2039,25.21212,25.22311,25.24871,25.28871,25.32824,25.36821,25.41638,25.46587,25.51574
Burkina Faso,Female,19.38757,19.44603,19.52129,19.58329,19.64018,19.72767,19.84262,19.94732,20.0482,20.13424,20.21868,20.2967,20.37662,20.45956,20.53269,20.59868,20.67019,20.73129,20.79543,20.87512,20.95276,21.02877,21.12089,21.22157,21.31166,21.39208,21.46883,21.54789,21.63031
Burundi,Female,19.16549,19.25894,19.34813,19.43468,19.53371,19.62296,19.70808,19.79292,19.88693,19.98949,20.07214,20.15831,20.2388,20.30242,20.36048,20.41268,20.44702,20.4911,20.53734,20.60738,20.67194,20.74013,20.81771,20.8969,20.98133,21.05691,21.13112,21.20367,21.27927
